ScoreCoefed,ScoreMoyenneG,ScoreUn,Precipitation,Date
42.08362002,42.26705612,0.421174109,23.40,2018-11
42.93484102,42.511152,0.4256252638,70.60,2018-12
42.7484094,42.58895681,0.4270440557,59.40,2019-01
43.82372991,43.16899344,0.4376211818,38.00,2019-02
42.25583186,42.94265706,0.4334938761,38.20,2019-03
43.7531502,43.27757066,0.4396011169,52.80,2019-04
42.58489256,42.86462487,0.432070938,23.20,2019-05
43.5993418,43.31246152,0.4402373612,98.60,2019-06
42.79178891,42.99200776,0.4343937996,52.60,2019-07
41.60254152,42.66455741,0.4284226533,16.80,2019-08
39.28227206,41.22553417,0.4021816722,52.00,2019-09
40.91891989,40.60124449,0.3907975799,25.20,2019-10
41.86809413,40.68976203,0.3924117213,76.20,2019-11
41.31627595,41.36776332,0.4047752597,91.60,2019-12
40.96725634,41.38387547,0.4050690691,83.80,2020-01
42.09960928,41.46104719,0.4064763164,27.00,2020-02
41.35451124,41.47379229,0.4067087267,81.60,2020-03
41.7374716,41.73053071,0.4113904218,52.40,2020-04
41.98460928,41.69219737,0.410691403,67.60,2020-05
42.71448107,42.14552065,0.4189578765,29.00,2020-06
41.57433692,42.09114242,0.4179662747,7.80,2020-07
42.77447003,42.35442934,0.4227673834,54.80,2020-08
41.38755085,41.91211926,0.4147017386,39.20,2020-09
42.39934814,42.18712301,0.4197165068,82.40,2020-10
42.34365416,42.04351772,0.4170978252,18.00,2020-11
42.82865416,42.52388549,0.4258574624,127.40,2020-12
42.37032083,42.51420972,0.4256810221,81.80,2021-01
42.37932552,42.52610017,0.4258978477,41.00,2021-02
42.70365416,42.4844335,0.4251380447,34.20,2021-03
42.52451855,42.53583274,0.4260753239,35.30,2021-04
43.56319665,42.93045645,0.4332713948,78.80,2021-05
44.19983918,43.42918479,0.442365842,116.40,2021-06
42.88594842,43.54966141,0.444562766,86.40,2021-07
41.32616397,42.80398385,0.4309651325,17.80,2021-08
41.79638496,42.00283245,0.4163559183,30.10,2021-09
42.44912263,41.85722385,0.4137007058,46,2021-10
43.89036304,42.71195688,0.4292869954,39.3,2021-11
41.3172748,42.55225349,0.4263747607,75.6,2021-12
41.84533036,42.3509894,0.4227046551,58.8,2022-01
43.55513712,42.23924743,0.4206670098,40.1,2022-02
43.55739385,42.98595378,0.4342834036,22.1,2022-03
37.95712125,41.68988407,0.4106492193,57.1,2022-04
42.39898805,41.30450105,0.4036216549,27.2,2022-05
41.88500965,40.74703965,0.3934561943,86.4,2022-06
44.54360118,42.94253296,0.4334916132,10.4,2022-07
41.54518385,42.65793156,0.4283018291,44.3,2022-08
40.09504483,42.06127662,0.4174216637,46.8,2022-09
